sdk,target_version,eval_version,model,strategy,eligible_programs,broken_after_upgrade,drift_break_rate
pennylane,0.32.0,0.35.1,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,0,0.0
pennylane,0.32.0,0.44.1,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,0,0.0
pennylane,0.32.0,0.35.1,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,2,0,0.0
pennylane,0.32.0,0.44.1,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,2,0,0.0
pennylane,0.32.0,0.35.1,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,1,0.5
pennylane,0.32.0,0.44.1,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,1,0.5
pennylane,0.32.0,0.35.1,gpt-5,rag_docs,2,0,0.0
pennylane,0.32.0,0.44.1,gpt-5,rag_docs,2,0,0.0
pennylane,0.32.0,0.35.1,gpt-5,rewrite_baseline,2,0,0.0
pennylane,0.32.0,0.44.1,gpt-5,rewrite_baseline,2,0,0.0
pennylane,0.32.0,0.35.1,gpt-5,vanilla,2,1,0.5
pennylane,0.32.0,0.44.1,gpt-5,vanilla,2,1,0.5
qiskit,0.45.3,1.0.2,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,0,0.0
qiskit,0.45.3,2.0.3,Qwen/Qwen2.5-Coder-32B-Instruct,rag_docs,2,0,0.0
qiskit,0.45.3,1.0.2,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,4,0,0.0
qiskit,0.45.3,2.0.3,Qwen/Qwen2.5-Coder-32B-Instruct,rewrite_baseline,4,0,0.0
qiskit,0.45.3,1.0.2,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,2,1.0
qiskit,0.45.3,2.0.3,Qwen/Qwen2.5-Coder-32B-Instruct,vanilla,2,2,1.0
qiskit,0.45.3,1.0.2,gpt-5,rag_docs,2,0,0.0
qiskit,0.45.3,2.0.3,gpt-5,rag_docs,2,0,0.0
qiskit,0.45.3,1.0.2,gpt-5,rewrite_baseline,4,0,0.0
qiskit,0.45.3,2.0.3,gpt-5,rewrite_baseline,4,0,0.0
qiskit,0.45.3,1.0.2,gpt-5,vanilla,2,2,1.0
qiskit,0.45.3,2.0.3,gpt-5,vanilla,2,2,1.0
